date,discharge_m3_per_s
2006-07-10T00:00:00,136.311
2006-07-11T00:00:00,139.482
2006-07-12T00:00:00,126.496
2006-07-13T00:00:00,122.938
2006-07-14T00:00:00,111.86
2006-07-15T00:00:00,119.107
2006-07-16T00:00:00,114.163
2006-07-17T00:00:00,115.071
2006-07-18T00:00:00,97.447
2006-07-19T00:00:00,101.762
2006-07-20T00:00:00,119.251
2006-07-21T00:00:00,112.716
2006-07-22T00:00:00,111.373
2006-07-23T00:00:00,129.324
2006-07-24T00:00:00,110.129
2006-07-25T00:00:00,106.246
2006-07-26T00:00:00,95.996
2006-07-27T00:00:00,127.949
2006-07-28T00:00:00,103.139
2006-07-29T00:00:00,112.783
2006-07-30T00:00:00,126.368
2006-07-31T00:00:00,107.378
2006-08-01T00:00:00,100.761
2006-08-02T00:00:00,102.209
2006-08-03T00:00:00,100.706
2006-08-04T00:00:00,105.789
2006-08-05T00:00:00,108.477
2006-08-06T00:00:00,110.311
2006-08-07T00:00:00,114.555
2006-08-08T00:00:00,122.827
2006-08-09T00:00:00,115.095
2006-08-10T00:00:00,114.032
2006-08-11T00:00:00,107.308
2006-08-12T00:00:00,105.24
2006-08-13T00:00:00,136.894
2006-08-14T00:00:00,173.19
2006-08-15T00:00:00,156.73
2006-08-16T00:00:00,146.158
2006-08-17T00:00:00,172.534
2006-08-18T00:00:00,173.279
2006-08-19T00:00:00,177.652
2006-08-20T00:00:00,170.111
2006-08-21T00:00:00,177.059
2006-08-22T00:00:00,178.682
2006-08-23T00:00:00,180.781
2006-08-24T00:00:00,182.681
2006-08-25T00:00:00,177.815
2006-08-26T00:00:00,179.854
2006-08-27T00:00:00,180.09
2006-08-28T00:00:00,196.065
2006-08-29T00:00:00,196.682
2006-08-30T00:00:00,201.053
2006-08-31T00:00:00,180.421
2006-09-01T00:00:00,166.646
2006-09-02T00:00:00,174.473
2006-09-03T00:00:00,164.052
2006-09-04T00:00:00,162.439
2006-09-05T00:00:00,160.452
2006-09-06T00:00:00,150.669
2006-09-07T00:00:00,145.366
2006-09-08T00:00:00,148.993
2006-09-09T00:00:00,143.623
2006-09-10T00:00:00,142.32
2006-09-11T00:00:00,138.548
2006-09-12T00:00:00,140.156
2006-09-13T00:00:00,145.027
2006-09-14T00:00:00,143.101
2006-09-15T00:00:00,176.145
2006-09-16T00:00:00,152.639
2006-09-17T00:00:00,141.833
2006-09-18T00:00:00,144.463
2006-09-19T00:00:00,144.804
2006-09-20T00:00:00,150.244
2006-09-21T00:00:00,146.913
2006-09-22T00:00:00,140.151
2006-09-23T00:00:00,148.092
2006-09-24T00:00:00,197.061
2006-09-25T00:00:00,179.163
2006-09-26T00:00:00,198.952
2006-09-27T00:00:00,137.172
2006-09-28T00:00:00,145.672
2006-09-29T00:00:00,142.044
2006-09-30T00:00:00,130.254
2006-10-01T00:00:00,139.209
2006-10-02T00:00:00,156.113
2006-10-03T00:00:00,209.561
2006-10-04T00:00:00,243.37
2006-10-05T00:00:00,279.505
2006-10-06T00:00:00,310.598
2006-10-07T00:00:00,324.686
2006-10-08T00:00:00,324.339
2006-10-09T00:00:00,355.095
2006-10-10T00:00:00,349.618
2006-10-11T00:00:00,313.333
2006-10-12T00:00:00,317.24
2006-10-13T00:00:00,307.16
2006-10-14T00:00:00,306.478
2006-10-15T00:00:00,299.453
2006-10-16T00:00:00,277.587
2006-10-17T00:00:00,277.649
2006-10-18T00:00:00,272.379
2006-10-19T00:00:00,261.804
2006-10-20T00:00:00,260.371
2006-10-21T00:00:00,262.226
2006-10-22T00:00:00,265.184
2006-10-23T00:00:00,265.672
2006-10-24T00:00:00,251.554
2006-10-25T00:00:00,271.113
2006-10-26T00:00:00,293.41
2006-10-27T00:00:00,275.76
2006-10-28T00:00:00,287.77
2006-10-29T00:00:00,270.97
2006-10-30T00:00:00,281.47
2006-10-31T00:00:00,266.493
2006-11-01T00:00:00,252.009
2006-11-02T00:00:00,253.104
2006-11-03T00:00:00,224.901
2006-11-04T00:00:00,186.795
2006-11-05T00:00:00,197.947
2006-11-06T00:00:00,209.379
